X1,X2,X3,X4,X5
8,78,284,9.100000381,109
7.5,70,739,7.199999809,113
8.899999619,96,1792,8.899999619,97
10.19999981,74,477,8.300000191,206
8.300000191,111,362,10.89999962,124
8.800000191,77,671,10,152
8.800000191,168,636,9.100000381,162
10.69999981,82,329,8.699999809,150
11.69999981,89,634,7.599999905,134
7.400000095,145,345,11.19999981,158
9.300000191,131,544,9.600000381,177
10.60000038,80,205,9.100000381,127
9.699999809,130,1264,9.199999809,179
11.60000038,140,688,8.300000191,80
8.100000381,154,354,8.399999619,103
9.800000191,118,1632,9.399999619,101
7.400000095,94,348,9.800000191,117
10.89999962,238,822,10.30000019,86
9.199999809,78,190,10.69999981,93
8.300000191,196,867,9.600000381,106
7.300000191,125,969,10.5,162
9.399999619,82,499,7.699999809,95
9,82,347,8.800000191,40
10,71,345,9.199999809,50
11.30000019,118,463,7.800000191,35
11.30000019,121,728,8.199999809,86
12.80000019,68,383,7.400000095,57
10,112,316,10.39999962,57
6.699999809,109,388,8.899999619,94
