latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
37.88,41,880,129,322,126,8.3252,452600
37.86,21,7099,1106,2401,1138,8.3014,358500
37.85,52,1467,190,496,177,7.2574,352100
37.85,52,1274,235,558,219,5.6431,341300
37.85,52,1627,280,565,259,3.8462,342200
37.85,52,919,213,413,193,4.0368,269700
37.84,52,2535,489,1094,514,3.6591,299200
37.84,52,3104,687,1157,647,3.12,241400
37.84,42,2555,665,1206,595,2.0804,226700
37.84,52,3549,707,1551,714,3.6912,261100
37.85,52,2202,434,910,402,3.2031,281500
37.85,52,3503,752,1504,734,3.2705,241800
37.85,52,2491,474,1098,468,3.075,213500
37.84,52,696,191,345,174,2.6736,191300
37.85,52,2643,626,1212,620,1.9167,159200
37.85,50,1120,283,697,264,2.125,140000
37.85,52,1966,347,793,331,2.775,152500
37.85,52,1228,293,648,303,2.1202,155500
37.84,50,2239,455,990,419,1.9911,158700
37.84,52,1503,298,690,275,2.6033,162900
37.85,40,751,184,409,166,1.3578,147500
37.85,42,1639,367,929,366,1.7135,159800
37.84,52,2436,541,1015,478,1.725,113900
37.84,52,1688,337,853,325,2.1806,99700
37.84,52,2224,437,1006,422,2.6,132600
37.85,41,535,123,317,119,2.4038,107500
37.85,49,1130,244,607,239,2.4597,93800
37.85,52,1898,421,1102,397,1.808,105500
37.84,50,2082,492,1131,473,1.6424,108900
37.84,52,729,160,395,155,1.6875,132000
37.84,49,1916,447,863,378,1.9274,122300
37.84,52,2153,481,1168,441,1.9615,115200
37.84,48,1922,409,1026,335,1.7969,110400
37.83,49,1655,366,754,329,1.375,104900
37.83,51,2665,574,1258,536,2.7303,109700
37.83,49,1215,282,570,264,1.4861,97200
37.83,48,1798,432,987,374,1.0972,104500
37.83,52,1511,390,901,403,1.4103,103900
37.83,52,1470,330,689,309,3.48,191400
37.83,52,2432,715,1377,696,2.5898,176000
37.83,52,1665,419,946,395,2.0978,155400
37.83,51,936,311,517,249,1.2852,150000
37.84,49,713,202,462,189,1.025,118800
37.84,52,950,202,467,198,3.9643,188800
37.83,52,1443,311,660,292,3.0125,184400
37.83,52,1656,420,718,382,2.6768,182300
37.83,50,1125,322,616,304,2.026,142500
37.82,43,1007,312,558,253,1.7348,137500
37.82,40,624,195,423,160,0.9506,187500
37.82,40,946,375,700,352,1.775,112500
37.82,21,896,453,735,438,0.9218,171900
37.82,43,1868,456,1061,407,1.5045,93800
37.82,41,3221,853,1959,720,1.1108,97500
37.82,52,1630,456,1162,400,1.2475,104200
37.82,52,1170,235,701,233,1.6098,87500
37.82,52,945,243,576,220,1.4113,83100
37.82,52,1238,288,622,259,1.5057,87500
37.82,52,1489,335,728,244,0.8172,85300
37.82,52,1387,341,1074,304,1.2171,80300
37.82,2,158,43,94,57,2.5625,60000
37.83,52,1121,211,554,187,3.3929,75700
37.82,49,135,29,86,23,6.1183,75000
37.81,50,760,190,377,122,0.9011,86100
37.81,52,1224,237,521,159,1.191,76100
37.81,48,828,182,392,133,2.5938,73500
37.81,52,1010,209,604,187,1.1667,78400
37.81,48,1455,354,788,332,0.8056,84400
37.8,52,1027,244,492,147,2.6094,81300
37.81,52,572,109,274,82,1.8516,85000
37.81,46,2801,644,1823,611,0.9802,129200
37.81,26,768,152,392,127,1.7719,82500
37.81,46,935,297,582,277,0.7286,95200
37.81,49,844,204,560,152,1.75,75000
37.81,46,12,4,18,7,0.4999,67500
37.81,20,835,161,290,133,2.483,137500
37.81,17,1237,462,762,439,0.9241,177500
37.81,36,2914,562,1236,509,2.4464,102100
37.81,19,1207,243,721,207,1.1111,108300
37.81,23,1745,374,1054,325,0.8026,112500
37.8,38,684,176,344,155,2.0114,131300
37.81,17,924,289,609,289,1.5,162500
37.81,52,210,56,183,56,1.1667,112500
37.81,52,340,97,200,87,1.5208,112500
37.81,52,386,164,346,155,0.8075,137500
37.81,35,948,184,467,169,1.8088,118800
37.81,52,773,143,377,115,2.4083,98200
37.81,40,880,451,582,380,0.977,118800
37.81,10,875,348,546,330,0.76,162500
37.8,10,105,42,125,39,0.9722,137500
37.8,52,249,78,396,85,1.2434,500001
37.8,16,994,392,800,362,2.0938,162500
37.8,52,215,87,904,88,0.8668,137500
37.8,52,96,31,191,34,0.75,162500
37.79,27,1055,347,718,302,2.6354,187500
37.8,39,1715,623,1327,467,1.8477,179200
37.8,36,5329,2477,3469,2323,2.0096,130000
37.82,31,4596,1331,2048,1180,2.8345,183800
37.81,29,335,107,202,91,2.0062,125000
37.82,22,3682,1270,2024,1250,1.2185,170000
37.82,37,3633,1085,1838,980,2.6104,193100
37.81,29,4656,1414,2304,1250,2.4912,257800
37.81,28,5806,1603,2563,1497,3.2177,273400
37.81,39,854,242,389,228,3.125,237500
37.81,52,2155,701,895,613,2.5795,350000
37.81,34,5871,1914,2689,1789,2.8406,335700
37.82,52,1509,225,674,244,4.9306,313400
37.81,52,2026,482,709,456,3.2727,268500
37.81,52,1758,460,686,422,3.1691,259400
37.82,52,3481,751,1444,718,3.9,275700
37.82,28,3337,855,1520,802,3.9063,225000
37.82,52,1424,289,550,253,5.0917,262500
37.82,32,3809,1098,1806,1022,2.6429,218500
37.82,26,3959,1196,1749,1217,3.0233,255000
37.83,52,2376,559,939,519,3.1484,224100
37.83,35,1613,428,675,422,3.4722,243100
37.83,52,1279,287,534,291,3.1429,231600
37.83,28,5022,1750,2558,1661,2.4234,218500
37.83,52,4190,1105,1786,1037,3.0897,234100
37.84,50,2515,399,970,373,5.8596,327600
37.84,47,3175,454,1098,485,5.2868,347600
37.83,41,2576,406,794,376,5.956,366100
37.85,37,334,54,98,47,4.9643,335000
37.85,52,2800,411,1061,403,6.3434,373600
37.84,52,3529,574,1177,555,5.1773,389500
37.85,52,2612,365,901,367,7.2354,391100
37.85,28,5287,1048,2031,956,5.457,337300
